País;Resultado;Pergunta;Fonte
Brasil;73;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Burkina Faso;60;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Butão;67;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Camboja;40;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Canadá;84;CC é um problema importante;OCDE
Canadá;82;[país] deveria combater o CC;OCDE
Canadá;20;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Canadá;48;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Chile;30;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
China;80;CC é um problema importante;OCDE
China;83;[país] deveria combater o CC;OCDE
China;47;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
China;17;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Colômbia;33;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Colômbia;58;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Comores;31;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Coreia do Sul;94;CC é um problema importante;OCDE
Coreia do Sul;88;[país] deveria combater o CC;OCDE
Coreia do Sul;28;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Coreia do Sul;54;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Costa do Marfim;62;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Dinamarca;80;CC é um problema importante;OCDE
Dinamarca;77;[país] deveria combater o CC;OCDE
Egito;43;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
El Salvador;51;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Equador;57;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Espanha;88;CC é um problema importante;OCDE
Espanha;85;[país] deveria combater o CC;OCDE
Espanha;27;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Espanha;69;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Estados Unidos;77;CC é um problema importante;OCDE
Estados Unidos;73;[país] deveria combater o CC;OCDE
Estados Unidos;26;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Estados Unidos;40;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Etiópia;59;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Fiji;73;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Filipinas;37;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
França;81;CC é um problema importante;OCDE
França;78;[país] deveria combater o CC;OCDE
França;23;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
França;65;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Gana;51;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Grécia;74;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Guatemala;61;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Haiti;60;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Honduras;56;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Hungria;16;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Ilhas Salomão;75;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Índia;87;CC é um problema importante;OCDE
Índia;88;[país] deveria combater o CC;OCDE
Índia;71;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Índia;42;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Indonésia;92;CC é um problema importante;OCDE
Indonésia;90;[país] deveria combater o CC;OCDE
Indonésia;47;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Indonésia;38;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Irã;63;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Iraque;51;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Irlanda;28;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Itália;93;CC é um problema importante;OCDE
Itália;90;[país] deveria combater o CC;OCDE
Itália;23;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Itália;53;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Japão;89;CC é um problema importante;OCDE
Japão;86;[país] deveria combater o CC;OCDE
Japão;12;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Japão;54;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Jordânia;27;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Madagascar;75;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Malásia;28;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Marrocos;44;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
México;88;CC é um problema importante;OCDE
México;89;[país] deveria combater o CC;OCDE
México;32;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
México;67;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Mianmar;45;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Moçambique;63;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Nepal;66;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Nicarágua;59;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Níger;61;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Nigéria;40;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Nova Zelândia;29;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Países Baixos;20;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Papua-Nova Guiné;76;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Paquistão;44;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Paraguai;64;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Peru;37;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Peru;51;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Polônia;86;CC é um problema importante;OCDE
Polônia;86;[país] deveria combater o CC;OCDE
Polônia;30;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Quênia;59;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Quirguistão;60;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Reino Unido;27;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Reino Unido;84;CC é um problema importante;OCDE
Reino Unido;83;[país] deveria combater o CC;OCDE
Reino Unido;50;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
República Democrática do Congo;53;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
República Democrática Popular do Laos;60;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
República Dominicana;48;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Romênia;20;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Romênia;52;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Rússia;36;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Samoa;75;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Singapura;24;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Sri Lanka;56;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Sudão;47;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Suécia;31;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Suíça;25;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Tailândia;55;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Tanzânia;42;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Tchéquia;42;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Tunísia;45;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Turquia;92;CC é um problema importante;OCDE
Turquia;91;[país] deveria combater o CC;OCDE
Turquia;34;"I would pay more of my 
income in taxes than I 
currently do now to help 
prevent climate change (Agree)";Ipsos Earth Day 2024 Global Report
Ucrânia;87;CC é um problema importante;OCDE
Ucrânia;85;[país] deveria combater o CC;OCDE
Uganda;56;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Vanuatu;74;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
Zimbábue;59;How worried are you about the effects of climate change on the next generation? (Very + Extremely);Peoples Climate Vote 2024
